symbol,price_4h,change_4h_pct,price_1d,change_1d_pct,rsi_4h,rsi_1d,trend_4h,trend_1d
BTC/USDT,92244.3,0.6030009357475219,92244.3,-2.138758310762856,28.52315621754346,27.98728715971224,bearish,bearish
ETH/USDT,3022.41,1.3547908960734434,3022.41,-2.356122429200036,36.29960516544834,31.523218396371732,bearish,bearish
BNB/USDT,908.1,1.214890771288446,908.1,-2.007122045969567,37.478108576841535,33.29425556676,bearish,bearish
XRP/USDT,2.1665,1.8570756934649824,2.1665,-2.1852002347735766,39.01166986301627,43.54253527154409,bearish,bearish
SOL/USDT,131.53,1.450057848052455,131.53,-4.1186761918647115,32.75862067415076,29.012645909457973,bearish,bearish
DOGE/USDT,0.15256,0.1838718150774854,0.15256,-3.8143874913309395,30.34583767788297,40.898483213713455,bearish,bearish
TRX/USDT,0.2921,0.4815961472308228,0.2921,-0.10259917920655282,47.513775403709744,64.28569047619936,bearish,bearish
ADA/USDT,0.4648,0.868055555555558,0.4648,-4.085843995047456,25.14688187947891,34.528830930366965,bearish,bearish
